transaction_date,rep_no,category,amount,description
2021-02-04,001,Travel,41.26,EXXON
2021-02-07,002,Entertainment,7.43,MICROSOFT
2021-02-07,002,Entertainment,5,APPLE
2021-02-07,002,Travel,34,MOBIL
2021-02-09,002,Dining,3.13,PEETS
2021-02-10,002,Dining,0.43,DONUTZ
2021-02-10,002,Dining,41.21,HOPHOUSE
2021-02-10,002,Entertainment,42.49,MICROSOFT
2021-02-12,002,Dining,10.37,PEETS
2021-02-13,002,Travel,45.86,MOBIL
2021-02-14,001,Travel,37.32,EXXON
2021-02-15,002,Dining,0.43,DONUTZ
2021-02-15,002,Dining,2.59,PEETS
2021-02-15,002,Dining,8.43,PEETS
2021-02-15,001,Entertainment,140,TENNIS
2021-02-21,002,Entertainment,6,MICROSOFT
2021-02-21,002,Entertainment,10.61,MICROSOFT
2021-02-25,002,Dining,2.94,CAFEE NERO
2021-02-25,002,Dining,2.15,PEETS
2021-02-25,002,Dining,11.72,PIZZA-RIA
2021-02-25,001,Travel,44.11,EXXON
2021-02-26,001,Dining,17.98,CHIPOTLE
2021-02-27,002,Entertainment,14.99,TENNIS
