transaction_date,rep_no,category,amount,description
2021-05-03,002,Travel,49,MOBIL
2021-05-05,002,Dining,2.59,PEETS
2021-05-06,002,Dining,9.51,CHICK-FIL-A
2021-05-06,002,Entertainment,150,MICROSOFT
2021-05-07,002,Dining,19.38,CHICK-FIL-A
2021-05-07,002,Entertainment,7.43,MICROSOFT
2021-05-07,002,Entertainment,5,APPLE
2021-05-08,001,Dining,10.7,CHIPOTLE
2021-05-08,002,Travel,3.8,MOBIL
2021-05-09,002,Dining,25.25,DONUTZ
2021-05-10,002,Dining,2.27,DONUTZ
2021-05-10,002,Dining,0.59,DONUTZ
2021-05-10,002,Dining,1.21,PEETS
2021-05-10,002,Entertainment,42.49,MICROSOFT
2021-05-10,001,Travel,50.2,MOBIL
2021-05-11,002,Travel,7.49,GOOD GARAGE
2021-05-14,002,Dining,6.99,CHIPOTLE
2021-05-16,001,Dining,30.58,CHICK-FIL-A
2021-05-16,001,Entertainment,225,TENNIS
2021-05-17,001,Travel,47.59,MOBIL
2021-05-19,002,Travel,50.4,EXXON
2021-05-20,002,Dining,6.37,TASTY THAI
2021-05-21,002,Entertainment,6,MICROSOFT
2021-05-22,002,Entertainment,10.61,MICROSOFT
2021-05-22,001,Travel,48.64,EXXON
2021-05-23,002,Dining,11.02,CHIPOTLE
2021-05-25,002,Travel,2,MOBIL
2021-05-27,001,Dining,9.15,CHIPOTLE
2021-05-28,002,Dining,29.26,HOPHOUSE
2021-05-28,001,Travel,51.14,EXXON
2021-05-30,002,Dining,42.79,PIZZA-RIA
